time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper,historical_surv,historical_se,higher_surv_est,higher_surv_se,higher_surv_lci,higher_surv_uci
180,0.9876399480449988,exposed,NA,6.611436702280654e-4,0.986344130262745,0.9889357658272524,12.36005195500134,13.655869737254967,11.06423417274771,0.992057174594152,5.047790976704815e-4,-4.417226549153219,8.318130139205941e-4,-6.047580056437584,-2.786873041868855
365,0.9629630396294856,exposed,NA,0.00172715801739207,0.9595778721197876,0.9663482071391838,37.036960370514294,40.42212788021238,33.65179286081621,0.9760092485786704,0.00135464819165346,-13.046208949184845,0.00219502768551827,-17.348463212800652,-8.743954685569035
180,0.992057174594152,historical,NA,5.047790976704815e-4,0.9910678257425694,0.9930465234457349,7.9428254058478975,8.932174257430647,6.953476554265148,0.992057174594152,5.047790976704815e-4,0,7.138654459280481e-4,NA,NA
365,0.9760092485786704,historical,NA,0.00135464819165346,0.9733541869113072,0.9786643102460336,23.99075142132967,26.645813088692737,21.33568975396649,0.9760092485786704,0.00135464819165346,0,0.0019157618448805108,NA,NA
180,0.9904963227456328,unexposed,NA,3.431556560769102e-4,0.989823750018631,0.9911688954726348,9.503677254367071,10.176249981369011,8.831104527365131,0.992057174594152,5.047790976704815e-4,-1.5608518485191736,6.103750828323517e-4,-2.7571870108705827,-0.3645166861677644
365,0.9713756939935324,unexposed,NA,7.489635202845318e-4,0.9699077524680404,0.9728436355190244,28.62430600646759,30.092247531959604,27.156364480975583,0.9760092485786704,0.00135464819165346,-4.633554585138033,0.0015479076451348729,-7.667453569602384,-1.5996556006736824
180,0.988949315353708,exposed,Female,7.513066884924144e-4,0.9874767813029188,0.9904218494044972,11.050684646291886,12.523218697081065,9.57815059550271,0.9931012983939642,5.793752117365508e-4,-4.151983040256213,9.48755698875222e-4,-6.011544210051649,-2.2924218704607777
365,0.966840902559332,exposed,Female,0.00206386896227372,0.9627957937244652,0.9708860113941984,33.15909744066814,37.20420627553478,29.11398860580161,0.9791434406862828,0.001629921610974,-12.302538126950813,0.0026298668314872677,-17.457077116665857,-7.147999137235768
180,0.9848611912529436,exposed,Male,0.00113623303907775,0.9826342154183068,0.9870881670875804,15.13880874705631,17.365784581693244,12.911832912419484,0.9895247946796216,8.343658750793792e-4,-4.663603426678042,0.0014096779535017344,-7.426572215541442,-1.900634637814643
365,0.9549047246931186,exposed,Male,0.00314149015965713,0.9487475171224036,0.9610619322638336,45.0952753068814,51.252482877596314,38.93806773616648,0.9685351384063264,0.00230639808464269,-13.630413713207833,0.0038972339611660534,-21.2689922770933,-5.99183514932237
180,0.9931012983939642,historical,Female,5.793752117365508e-4,0.9919657438454254,0.9942368529425032,6.898701606035784,8.03425615457465,5.763147057496809,0.9931012983939642,5.793752117365508e-4,0,8.193602821406138e-4,NA,NA
365,0.9791434406862828,historical,Female,0.001629921610974,0.9759488530311504,0.9823380283414156,20.856559313717103,24.05114696884969,17.66197165858452,0.9791434406862828,0.001629921610974,0,0.0023050572478444343,NA,NA
180,0.9895247946796216,historical,Male,8.343658750793792e-4,0.9878894676145368,0.9911601217447064,10.47520532037838,12.110532385463223,8.8398782552935309,0.9895247946796216,8.343658750793792e-4,0,0.0011799715365185537,NA,NA
365,0.9685351384063264,historical,Male,0.00230639808464269,0.9640146812264144,0.9730555955862384,31.464861593673564,35.98531877358546,26.944404413761667,0.9685351384063264,0.00230639808464269,0,0.0032617394515330215,NA,NA
180,0.9916107094900672,unexposed,Female,3.562745003539384e-4,0.9909124243007634,0.9923089946793708,8.389290509932867,9.087575699236572,7.691005320629163,0.9931012983939642,5.793752117365508e-4,-1.4905889038969722,6.80152303221287e-4,-2.8236874182106946,-0.1574903895832497
365,0.9747055635113888,unexposed,Female,8.499622653212157e-4,0.9730396680831412,0.9763714589396364,25.294436488611183,26.96033191685887,23.628541060363496,0.9791434406862828,0.001629921610974,-4.437877174893967,0.001838227491468358,-8.04080305817195,-0.8349512916159857
180,0.9888560459104766,unexposed,Male,5.101495307967076e-4,0.987856171203385,0.989855920617568,11.1439540895234,12.143828796615018,10.144079382431892,0.9895247946796216,8.343658750793792e-4,-0.6687487691450222,9.779667465047465e-4,-2.5855635922943256,1.2480660540042807
365,0.9665666415780696,unexposed,Male,0.00128960809031379,0.964039056166883,0.969094226989256,33.43335842193041,35.960943833116986,30.905773010743932,0.9685351384063264,0.00230639808464269,-1.9684968282568382,0.0026424536233293195,-7.147705929982305,3.210712273468628
180,0.9894506253812012,exposed,Hispanic,0.00167605316891645,0.9861656215339506,0.9927356292284516,10.5493746187989,13.8343784660494,7.264370771548512,0.9919109379380208,0.00165735324641974,-2.460312556819555,0.002357111369548101,-7.080250841133833,2.1596257274947233
365,0.968660637140732,exposed,Hispanic,0.0048346188346029,0.9591849583459314,0.9781363159355329,31.33936285926786,40.81504165406857,21.863684064467147,0.9758685087669008,0.00481686444150041,-7.20787162616876,0.006824640820122929,-20.5841676336097,6.168424381272179
180,0.9823768760568462,exposed,NH Black,0.0013054304403331,0.9798182794094712,0.9849354727042212,17.623123943153796,20.18172059052892,15.064527295778674,0.9896629637984908,9.471711232602568e-4,-7.286087741644631,0.0016128489610891556,-10.447271705379375,-4.1249037779098865
365,0.9482673234616592,exposed,NH Black,0.00355727650969651,0.9412951896196038,0.9552394573037148,51.73267653834069,58.70481038039621,44.76054269628516,0.9692803434736424,0.00263597239605144,-21.01302001198324,0.004427478587094889,-29.690878042689224,-12.33516198127726
