time,surv,COHORT,modifier,se,ci_lower,ci_upper,exposed_surv,exposed_se,reduced_surv_est,reduced_surv_se,reduced_surv_lci,reduced_surv_uci
180,0.9876399480449987,exposed,NA,6.611436702280654e-4,0.986344130262745,0.9889357658272523,0.9876399480449987,6.611436702280654e-4,0,9.349983451136551e-4,NA,NA
365,0.9629630396294857,exposed,NA,0.001727158017392078,0.9595778721197876,0.9663482071391838,0.9629630396294857,0.001727158017392078,0,0.0024425702925573024,NA,NA
180,0.9920571745941521,historical,NA,5.047790976704815e-4,0.9910678257425694,0.9930465234457349,0.9876399480449987,6.611436702280654e-4,4.417226549153441,8.318130139205941e-4,2.786873041869077,6.047580056437806
365,0.9760092485786703,historical,NA,0.0013546481916534682,0.9733541869113073,0.9786643102460335,0.9629630396294857,0.001727158017392078,13.046208949184624,0.002195027685518282,8.743954685568792,17.348463212800457
180,0.9904963227456329,unexposed,NA,3.431556560769102e-4,0.989823750018631,0.9911688954726349,0.9876399480449987,6.611436702280654e-4,2.8563747006342677,7.448937890600321e-4,1.3963828740766047,4.316366527191931
365,0.9713756939935324,unexposed,NA,7.489635202845318e-4,0.9699077524680404,0.9728436355190244,0.9629630396294857,0.001727158017392078,8.412654364046702,0.001882557083266994,4.722842480843393,12.10246624725001
180,0.9889493153537081,exposed,Female,7.513066884924144e-4,0.9874767813029189,0.9904218494044973,0.9889493153537081,7.513066884924144e-4,0,0.0010625081083675905,NA,NA
365,0.9668409025593319,exposed,Female,0.0020638689622737207,0.9627957937244652,0.9708860113941984,0.9668409025593319,0.0020638689622737207,0,0.0029187514774083817,NA,NA
180,0.9848611912529437,exposed,Male,0.0011362330390777599,0.9826342154183068,0.9870881670875805,0.9848611912529437,0.0011362330390777599,0,0.001606876173880167,NA,NA
365,0.9549047246931186,exposed,Male,0.0031414901596571354,0.9487475171224037,0.9610619322638335,0.9549047246931186,0.0031414901596571354,0,0.004442737989848741,NA,NA
180,0.9931012983939642,historical,Female,5.793752117365508e-4,0.9919657438454254,0.9942368529425032,0.9889493153537081,7.513066884924144e-4,4.151983040256102,9.48755698875222e-4,2.2924218704606667,6.011544210051538
365,0.9791434406862829,historical,Female,0.001629921610974004,0.9759488530311503,0.9823380283414155,0.9668409025593319,0.0020638689622737207,12.302538126951035,0.0026298668314872708,7.147999137235984,17.457077116666085
180,0.9895247946796216,historical,Male,8.343658750793792e-4,0.9878894676145368,0.9911601217447065,0.9848611912529437,0.0011362330390777599,4.663603426677931,0.0014096779535017424,1.900634637814516,7.426572215541346
365,0.9685351384063264,historical,Male,0.002306398084642695,0.9640146812264145,0.9730555955862383,0.9549047246931186,0.0031414901596571354,13.630413713207833,0.003897233961166061,5.991835149322354,21.268992277093314
180,0.9916107094900671,unexposed,Female,3.562745003539384e-4,0.9909124243007634,0.9923089946793708,0.9889493153537081,7.513066884924144e-4,2.661394136359019,8.315006072011531e-4,1.0316529462447588,4.291135326473278
365,0.9747055635113888,unexposed,Female,8.499622653212157e-4,0.9730396680831411,0.9763714589396365,0.9668409025593319,0.0020638689622737207,7.864660952056957,0.0022320373979633,3.4898676520488885,12.239454252065025
180,0.9888560459104766,unexposed,Male,5.101495307967076e-4,0.987856171203385,0.9898559206175681,0.9848611912529437,0.0011362330390777599,3.994854657532909,0.0012455031364328165,1.553668510124589,6.4360408049412285
365,0.9665666415780696,unexposed,Male,0.0012896080903137992,0.964039056166883,0.9690942269892561,0.9549047246931186,0.0031414901596571354,11.661916884950996,0.0033958871373803664,5.005978095685478,18.317855674216514
180,0.9894506253812011,exposed,Hispanic,0.0016760531689164527,0.9861656215339506,0.9927356292284515,0.9894506253812011,0.0016760531689164527,0,0.002370297122740051,NA,NA
365,0.9686606371407321,exposed,Hispanic,0.004834618834602906,0.9591849583459314,0.9781363159355329,0.9686606371407321,0.004834618834602906,0,0.0068371835247998365,NA,NA
180,0.9823768760568462,exposed,NH Black,0.0013054304403331,0.9798182794094711,0.9849354727042213,0.9823768760568462,0.0013054304403331,0,0.0018461574334537516,NA,NA
365,0.9482673234616593,exposed,NH Black,0.0035572765096965188,0.9412951896196038,0.9552394573037148,0.9482673234616593,0.0035572765096965188,0,0.005030748685124044,NA,NA
180,0.9891169108484664,exposed,NH White,8.664329205010468e-4,0.9874187335292645,0.9908150881676683,0.9891169108484664,8.664329205010468e-4,0,0.00122532118705911,NA,NA
365,0.967687597074292,exposed,NH White,0.002393950765087734,0.9629955397939578,0.972379654354626,0.967687597074292,0.002393950765087734,0,0.003385557639640521,NA,NA
180,0.9919109379380207,historical,Hispanic,0.0016573532464197486,0.9886625852653774,0.9951592906106639,0.9894506253812011,0.0016760531689164527,2.460312556819555,0.0023571113695481094,-2.159625727494739,7.080250841133849
365,0.9758685087669008,historical,Hispanic,0.004816864441500411,0.9664276279431484,0.9853093895906533,0.9686606371407321,0.004834618834602906,7.207871626168649,0.006824640820122933,-6.168424381272299,20.584167633609596
180,0.9896629637984908,historical,NH Black,9.471711232602567e-4,0.9878065425097045,0.9915193850872773,0.9823768760568462,0.0013054304403331,7.286087741644631,0.0016128489610891554,4.1249037779098865,10.447271705379375
365,0.9692803434736423,historical,NH Black,0.0026359723960514476,0.9641139325131397,0.974446754434145,0.9482673234616593,0.0035572765096965188,21.01302001198302,0.004427478587094901,12.335161981277013,29.69087804268902
180,0.992633156276363,historical,NH White,6.234915121142625e-4,0.9914111353679526,0.9938551771847733,0.9891169108484664,8.664329205010468e-4,3.516245427896525,0.0010674491423044484,1.424045108979806,5.608445746813243
