time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper,exposed_surv,exposed_se,reduced_surv_est,reduced_surv_se,reduced_surv_lci,reduced_surv_uci
180,0.9766731999662966,exposed,NA,7.991756344194995e-4,0.9751068445055124,0.9782395554270809,23.326800033703353,24.89315549448756,21.76044457291926,0.9766731999662966,7.991756344194995e-4,0,0.0011302050209141788,NA,NA
365,0.9560288473997884,exposed,NA,0.00142803622067816,0.9532299478386403,0.9588277469609362,43.971152600211674,46.770052161359544,41.1722530390638,0.9560288473997884,0.00142803622067816,0,0.0020195481908430717,NA,NA
180,0.9836486433672488,historical,NA,8.416082610700257e-4,0.98199912148646,0.98529816524803715,16.351356632751333,18.00087851354004,14.70183475196274,0.9766731999662966,7.991756344194995e-4,6.9754434009521304,0.001160597328857482,4.700672636391466,9.250214165512794
365,0.9689902908406456,historical,NA,0.0015100334168232,0.96603067972822,0.9719499019530708,31.009709159354525,33.96932027178001,28.05009804692915,0.9560288473997884,0.00142803622067816,12.961443440857146,0.0020783378857855404,8.887901184717487,17.034985696996802
180,0.9811335898038293,unexposed,NA,3.9310015647875895e-4,0.9803631276548136,0.9819040519528446,18.866410196170857,19.636872345186298,18.095948047155417,0.9766731999662966,7.991756344194995e-4,4.460389837532608,8.906230558847185e-4,2.7147686479985595,6.206011027066657
365,0.9642990223987684,unexposed,NA,6.901433641218964e-4,0.96294636626092,0.9656516785366166,35.700977601231585,37.053633739079885,34.3483214633834,0.9560288473997884,0.00142803622067816,8.270174998979973,0.0015860596806584078,5.161498024889494,11.378851973070454
180,0.9796020343729512,exposed,Female,9.2954626009002e-4,0.9777801571812108,0.9814239115646914,20.397965627048876,22.219842818789193,18.576088435308556,0.9796020343729512,9.2954626009002e-4,0,0.0013145769278724948,NA,NA
365,0.9615657811096704,exposed,Female,0.00168995362679735,0.9582535328656048,0.964878029353736,38.4342188903295,41.746467134395225,35.121970646263875,0.9615657811096704,0.00168995362679735,0,0.0023899553387984125,NA,NA
180,0.9716538803043256,exposed,Male,0.00136359952690316,0.9689812743422594,0.9743264862663916,28.346119695674467,31.018725657740553,25.673513733608488,0.9716538803043256,0.00136359952690316,0,0.001928420944591985,NA,NA
365,0.9469554399781818,exposed,Male,0.00244826101318492,0.9421569365675858,0.9517539433887776,53.044560021818235,57.84306343241419,48.24605661122228,0.9469554399781818,0.00244826101318492,0,0.0034623639290754086,NA,NA
180,0.9850249561900708,historical,Female,9.850427726979427e-4,0.9830943078323516,0.9869556045477904,14.97504380992909,16.90569216764848,13.0443954522097,0.9796020343729512,9.2954626009002e-4,5.422921817119564,0.0013543875049969244,2.768322307325592,8.077521326913535
365,0.9716492568506442,historical,Female,0.00179471013651977,0.9681316896203764,0.975166824080912,28.350743149355814,31.86831037962357,24.83317591908807,0.9615657811096704,0.00168995362679735,10.08347574097379,0.0024651425384452576,5.251796365621086,14.915155116326497
180,0.9791732186283036,historical,Male,0.00131051391312158,0.9766046585573466,0.9817417786992604,20.82678137169647,23.39534144265343,18.25822130073962,0.9716538803043256,0.00136359952690316,7.519338323977998,0.001891256298404782,3.812475979104625,11.226200668851371
365,0.9607724574397464,historical,Male,0.00236165871424697,0.9561436914160472,0.9654012234634458,39.22754256025351,43.85630858395273,34.59877653655419,0.9469554399781818,0.00244826101318492,13.817017461564607,0.003401678096360663,7.149728392697708,20.484306530431503
180,0.9833817347539716,unexposed,Female,4.388914534972012e-4,0.9825215233119948,0.9842419461959486,16.618265246028272,17.478476688005284,15.758053804051375,0.9796020343729512,9.2954626009002e-4,3.779700381020379,0.0010279503672844467,1.7649176611428634,5.794483100897894
365,0.9685838006516102,unexposed,Female,7.78639723088397e-4,0.9670576948374248,0.9701099064657958,31.416199348389796,32.94230516257524,29.890093534204244,0.9615657811096704,0.00168995362679735,7.018019541939813,0.0018607049951823887,3.3710377513823313,10.665001332497294
180,0.9782298054906228,unexposed,Male,6.449490639028624e-4,0.9769657285535104,0.9794938824277352,21.770194509377227,23.03427144648962,20.50611757226484,0.9716538803043256,0.00136359952690316,6.575925186297127,0.001508430629760514,3.6194011519665197,9.532449220627733
365,0.9590291665693678,unexposed,Male,0.00117537961558081,0.9567254648546668,0.9613328682840686,40.97083343063224,43.27453514533319,38.66713171593139,0.9469554399781818,0.00244826101318492,12.073726591185995,0.0027157870368282088,6.7507839990027065,17.396669183369283
180,0.9756214431839244,exposed,Hispanic,0.00175900291713869,0.9721738608176316,0.9790690255502172,24.37855681607559,27.826139182368316,20.93097444978276,0.9756214431839244,0.00175900291713869,0,0.002487605781671373,NA,NA
365,0.9542704452557982,exposed,Hispanic,0.00318893823334661,0.948020241169516,0.9605206493420804,45.72955474420182,51.979758830484,39.47935065791963,0.9542704452557982,0.00318893823334661,0,0.004509839699168874,NA,NA
180,0.9663439845184856,exposed,NH Black,0.00180649168281065,0.9628033258818054,0.9698846431551656,33.65601548151454,37.19667411819461,30.115356844834466,0.9663439845184856,0.00180649168281065,0,0.0025547650381450167,NA,NA
365,0.9373397776273008,exposed,NH Black,0.00325060969320805,0.9309686997008162,0.9437108555537854,62.660222372699195,69.03130029918381,56.28914444621458,0.9373397776273008,0.00325060969320805,0,0.004597056314116271,NA,NA
180,0.9808599758265109,exposed,NH White,0.00103338613807624,0.9788345762137584,0.9828853754392632,19.140024173489145,21.165423786241533,17.114624560736758,0.9808599758265109,0.00103338613807624,0,0.0014614286916357743,NA,NA
