time,surv,COHORT,modifier,se,ci_lower,ci_upper,exposed_surv,exposed_se,reduced_surv_est,reduced_surv_se,reduced_surv_lci,reduced_surv_uci
365,0.9737168451756856,historical,NH White,0.0018536760193369767,0.9700837069387795,0.9773499834125916,0.9727486720687015,7.733291833144749e-4,0.9681731069840493,0.0020085200547743636,-2.9685262003737027,4.904872414341802
180,0.9781940788027431,unexposed,Hispanic,9.267626171103846e-4,0.9763776574509887,0.9800105001544975,0.9781940788027431,9.267626171103846e-4,0,0.0013106402622178898,NA,NA
365,0.9590101825335152,unexposed,Hispanic,0.0016911307923148289,0.9556956270874314,0.9623247379795989,0.9590101825335152,0.0016911307923148289,0,0.002391620102238389,NA,NA
180,0.9727172138884991,unexposed,NH Black,9.274165709524257e-4,0.9708995108107666,0.9745349169662315,0.9727172138884991,9.274165709524257e-4,0,0.00131156509261047,NA,NA
365,0.9489433743986434,unexposed,NH Black,0.001660389621211707,0.9456890705407643,0.9521976782565225,0.9489433743986434,0.001660389621211707,0,0.002348145521141122,NA,NA
180,0.9855907917655957,unexposed,NH White,4.2526423869470003e-4,0.9847572891738413,0.9864242943573502,0.9855907917655957,4.2526423869470003e-4,0,6.014144539543139e-4,NA,NA
365,0.9727486720687015,unexposed,NH White,7.733291833144749e-4,0.9712329747212114,0.9742643694161917,0.9727486720687015,7.733291833144749e-4,0,0.0010936526192222398,NA,NA
180,0.9871797950676636,exposed,18 to 39,0.0014472815372282104,0.9843431753792066,0.9900164147561207,0.9906001586495276,8.302511038273698e-4,-3.4203635818639277,0.0016685145319739404,-6.690652064532851,-0.15007509919500459
365,0.97571022801809415,exposed,18 to 39,0.0027079230785481477,0.9704027963112349,0.9810176597249534,0.9821407652332049,0.0015616057588475395,-6.4305372151107765,0.003125933451850739,-12.557366780738224,-0.3037076494833276
180,0.9711957010158994,exposed,40 to 64,0.001324331702393828,0.9686000585756228,0.9737913434561759,0.9772747140431312,6.373919682692268e-4,-6.079013027231794,0.0014697356834408879,-8.959694966775935,-3.198331087687654
365,0.9461228608577686,exposed,40 to 64,0.002384044109358113,0.9414502202658719,0.9507955014496654,0.9572867774965863,0.0011468354202858236,-11.16391663881766,0.0026455430059984433,-16.349180930574608,-5.978652347060713
180,0.9786180803935703,exposed,65 plus,0.0015122348267791778,0.975654154596916,0.9815820061902247,0.9824931011950901,8.41026592161085e-4,-3.8750208015198018,0.0017303698737685933,-7.266545754106245,-0.48349584893335895
365,0.9597683610912093,exposed,65 plus,0.0027697804059095186,0.954339691250542,0.9651970309318767,0.9669564961969923,0.001543952607840345,-7.188135105782978,0.00317103660531021,-13.403366852190988,-0.9729033593749671
180,0.9888764832322146,historical,18 to 39,0.0013956727695498944,0.9861410148696935,0.9916119515947357,0.9906001586495276,8.302511038273698e-4,-1.7236754173129976,0.0016239517773227255,-4.906620900865539,1.4592700662395441
365,0.9788956587150328,historical,18 to 39,0.00261194385945969,0.9737763428208512,0.9840149746092143,0.9821407652332049,0.0015616057588475395,-3.245106518172114,0.0030431666518669297,-9.209713155831297,2.7195001194870683
180,0.9794367040225879,historical,40 to 64,0.0013031617362319096,0.9768825539535427,0.9819908540916331,0.9772747140431312,6.373919682692268e-4,2.1619899794567132,0.0014506891576051308,-0.681360769449343,5.0053407283627696
365,0.9612831981426435,historical,40 to 64,0.0023503948547218285,0.9566765088779404,0.9658898874073465,0.9572867774965863,0.0011468354202858236,3.9964206460572083,0.0026152604945444743,-1.129489923249961,9.122331215364376
180,0.9833789294853139,historical,65 plus,0.001390790882430982,0.9806530294457225,0.9861048295249053,0.9824931011950901,8.41026592161085e-4,0.8858282902237669,0.0016253076654514484,-2.299774734061072,4.071431314508605
365,0.9686059731401772,historical,65 plus,0.002550718179245976,0.9636066573741434,0.9736052889062108,0.9669564961969923,0.001543952607840345,1.6494769431848466,0.0029816024022650822,-4.1944637652547145,7.493417651624408
180,0.9906001586495276,unexposed,18 to 39,8.302511038273698e-4,0.9889728963879013,0.9922274209111539,0.9906001586495276,8.302511038273698e-4,0,0.0011741523712078992,NA,NA
365,0.9821407652332049,unexposed,18 to 39,0.0015616057588475395,0.9790800741878134,0.9852014562785965,0.9821407652332049,0.0015616057588475395,0,0.002208444043242119,NA,NA
180,0.9772747140431312,unexposed,40 to 64,6.373919682692268e-4,0.9760254487412883,0.9785239793449739,0.9772747140431312,6.373919682692268e-4,0,9.014083660740219e-4,NA,NA
365,0.9572867774965863,unexposed,40 to 64,0.0011468354202858236,0.9550390213766312,0.9595345336165414,0.9572867774965863,0.0011468354202858236,0,0.0016218702051780604,NA,NA
180,0.9824931011950901,unexposed,65 plus,8.41026592161085e-4,0.980844719364414,0.9841414830257663,0.9824931011950901,8.41026592161085e-4,0,0.001189391212950632,NA,NA
365,0.9669564961969923,unexposed,65 plus,0.001543952607840345,0.9639304046917886,0.9699825877021961,0.9669564961969923,0.001543952607840345,0,0.0021834787176691246,NA,NA
180,0.9702707007274054,exposed,Hospitalized,0.001838499907860116,0.9666673071224194,0.9738740943323915,0.9792280300160932,7.255975697804778e-4,-8.957329288687754,0.0019765054375014985,-12.83127994619069,-5.083378631184817
365,0.9446449854663085,exposed,Hospitalized,0.0033474931780520657,0.9380840193988329,0.9512059515337841,0.9610129751049822,0.0013332276526725937,-16.3679896386737,0.003603221690509202,-23.430304152071734,-9.30567512527566
180,0.9783458994255255,exposed,Not Hospitalized,8.788019605108069e-4,0.9766234792333812,0.9800683196176699,0.9822843657227955,4.2356178334912914e-4,-3.9384662972700157,9.755498296404609e-4,-5.850543963365319,-2.0263886311747124
365,0.9593895504566994,exposed,Not Hospitalized,0.0015604577015411653,0.9563311095622806,0.9624479913511182,0.9666574377774733,7.440950404322775e-4,-7.26788732077388,0.001728787340159295,-10.656310507486099,-3.8794641340616622
180,0.9794480683195275,historical,Hospitalized,0.0030651704182868217,0.9734404446932078,0.9854556919458473,0.9792280300160932,7.255975697804778e-4,0.2200383034343112,0.003149882779789106,-5.953731944952336,6.393808551820959
365,0.9614183177131573,historical,Hospitalized,0.005618677423891654,0.9504059123215814,0.9724307231047333,0.9610129751049822,0.0013332276526725937,0.4053426081751521,0.005774688906564633,-10.91304764869153,11.723732865041834
180,0.9829843652214029,historical,Not Hospitalized,9.496197231988928e-4,0.9811231447649242,0.9848455856778816,0.9822843657227955,4.2356178334912914e-4,0.6999994986073288,0.0010397991166577495,-1.3380067700418603,2.7380057672565177
365,0.9679545468589067,historical,Not Hospitalized,0.001698870076071723,0.9646248226953933,0.9712842710224201,0.9666574377774733,7.440950404322775e-4,1.297109081433434,0.0018546797471714234,-2.3380632230225555,4.932281385889424
180,0.9792280300160932,unexposed,Hospitalized,7.255975697804778e-4,0.9778058849120537,0.98065017512013275,0.9792280300160932,7.255975697804778e-4,0,0.00102614992400851,NA,NA
365,0.9610129751049822,unexposed,Hospitalized,0.0013332276526725937,0.9583998969225511,0.9636260532874134,0.9610129751049822,0.0013332276526725937,0,0.001885468628140428,NA,NA
180,0.9822843657227955,unexposed,Not Hospitalized,4.2356178334912914e-4,0.9814541998822037,0.9831145315633874,0.9822843657227955,4.2356178334912914e-4,0,5.99006818515273e-4,NA,NA
365,0.9666574377774733,unexposed,Not Hospitalized,7.440950404322775e-4,0.9651990382971511,0.9681158372577955,0.9666574377774733,7.440950404322775e-4,0,0.0010523092978738833,NA,NA
180,0.9781176128978997,exposed,Overlap,8.055130061093626e-4,0.9765388364168467,0.9796963893789526,0.9810937581798458,4.052012412755209e-4,-2.9761452819461187,9.01686890745654e-4,-4.7434515878076,-1.208838976084637
365,0.9588662745539077,exposed,Overlap,0.0014442575381936977,0.9560355817946475,0.9616969673131678,0.9643722017118875,7.225520232059411e-4,-5.5059271579798175,0.001614918345573026,-8.671167115302948,-2.3406872006566863
180,0.9822753703106962,historical,Overlap,0.001071013822154096,0.9801762217923295,0.9843745188290628,0.9810937581798458,4.052012412755209e-4,1.1816121308504401,0.001145102027409064,-1.062787842871325,3.4260121045722056
365,0.9665657605872949,historical,Overlap,0.0019255965472240104,0.9627916607059812,0.9703398604686087,0.9643722017118875,7.225520232059411e-4,2.1935588754073976,0.0020566972283056224,-1.8375676920716222,6.224685442886417
180,0.9810937581798458,unexposed,Overlap,4.052012412755209e-4,0.9802995783404548,0.9818879380192367,0.9810937581798458,4.052012412755209e-4,0,5.730410909022544e-4,NA,NA
365,0.9643722017118875,unexposed,Overlap,7.225520232059411e-4,0.9629560257694473,0.9657883776543277,0.9643722017118875,7.225520232059411e-4,0,0.0010218428707379611,NA,NA
