time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper,exposed_surv,exposed_se,higher_surv_est,higher_surv_se,higher_surv_lci,higher_surv_uci
180,0.9766731999662966,exposed,NA,7.991756344194995e-4,0.9751068445055124,0.9782395554270809,23.326800033703353,24.89315549448756,21.76044457291926,0.9836486433672488,8.416082610700257e-4,-6.9754434009521304,0.001160597328857482,-9.250214165512794,-4.700672636391466
365,0.9560288473997884,exposed,NA,0.00142803622067816,0.9532299478386403,0.9588277469609362,43.971152600211674,46.770052161359544,41.1722530390638,0.9689902908406456,0.0015100334168232,-12.961443440857146,0.0020783378857855404,-17.034985696996802,-8.887901184717487
180,0.9836486433672488,historical,NA,8.416082610700257e-4,0.98199912148646,0.98529816524803715,16.351356632751333,18.00087851354004,14.70183475196274,0.9836486433672488,8.416082610700257e-4,0,0.001190213817010467,NA,NA
365,0.9689902908406456,historical,NA,0.0015100334168232,0.96603067972822,0.9719499019530708,31.009709159354525,33.96932027178001,28.05009804692915,0.9689902908406456,0.0015100334168232,0,0.0021355097377079545,NA,NA
180,0.9811335898038293,unexposed,NA,3.9310015647875895e-4,0.9803631276548136,0.9819040519528446,18.866410196170857,19.636872345186298,18.095948047155417,0.9836486433672488,8.416082610700257e-4,-2.5150535634195226,9.288876132907239e-4,-4.3356732854693405,-0.6944338413697039
365,0.9642990223987684,unexposed,NA,6.901433641218964e-4,0.96294636626092,0.9656516785366166,35.700977601231585,37.053633739079885,34.3483214633834,0.9689902908406456,0.0015100334168232,-4.691268441877172,0.0016602706956891807,-7.945399005427966,-1.437137878326378
180,0.9796020343729512,exposed,Female,9.2954626009002e-4,0.9777801571812108,0.9814239115646914,20.397965627048876,22.219842818789193,18.576088435308556,0.9850249561900708,9.850427726979427e-4,-5.422921817119564,0.0013543875049969244,-8.077521326913535,-2.768322307325592
365,0.9615657811096704,exposed,Female,0.00168995362679735,0.9582535328656048,0.964878029353736,38.4342188903295,41.746467134395225,35.121970646263875,0.9716492568506442,0.00179471013651977,-10.08347574097379,0.0024651425384452576,-14.915155116326497,-5.251796365621086
180,0.9716538803043256,exposed,Male,0.00136359952690316,0.9689812743422594,0.9743264862663916,28.346119695674467,31.018725657740553,25.673513733608488,0.9791732186283036,0.00131051391312158,-7.519338323977998,0.001891256298404782,-11.226200668851371,-3.812475979104625
365,0.9469554399781818,exposed,Male,0.00244826101318492,0.9421569365675858,0.9517539433887776,53.044560021818235,57.84306343241419,48.24605661122228,0.9607724574397464,0.00236165871424697,-13.817017461564607,0.003401678096360663,-20.484306530431503,-7.149728392697708
180,0.9850249561900708,historical,Female,9.850427726979427e-4,0.9830943078323516,0.9869556045477904,14.97504380992909,16.90569216764848,13.0443954522097,0.9850249561900708,9.850427726979427e-4,0,0.0013930608486670284,NA,NA
365,0.9716492568506442,historical,Female,0.00179471013651977,0.9681316896203764,0.975166824080912,28.350743149355814,31.86831037962357,24.83317591908807,0.9716492568506442,0.00179471013651977,0,0.002538103415594728,NA,NA
180,0.9791732186283036,historical,Male,0.00131051391312158,0.9766046585573466,0.9817417786992604,20.82678137169647,23.39534144265343,18.25822130073962,0.9791732186283036,0.00131051391312158,0,0.0018533465496151744,NA,NA
365,0.9607724574397464,historical,Male,0.00236165871424697,0.9561436914160472,0.9654012234634458,39.22754256025351,43.85630858395273,34.59877653655419,0.9607724574397464,0.00236165871424697,0,0.003339889783384671,NA,NA
180,0.9833817347539716,unexposed,Female,4.388914534972012e-4,0.9825215233119948,0.9842419461959486,16.618265246028272,17.478476688005284,15.758053804051375,0.9850249561900708,9.850427726979427e-4,-1.6432214360991848,0.0010783946272109003,-3.756874905432549,0.47043203323417954
365,0.9685838006516102,unexposed,Female,7.78639723088397e-4,0.9670576948374248,0.9701099064657958,31.416199348389796,32.94230516257524,29.890093534204244,0.9716492568506442,0.00179471013651977,-3.065456199033978,0.001956339513606467,-6.899881645702653,0.768969247634697
180,0.9782298054906228,unexposed,Male,6.449490639028624e-4,0.9769657285535104,0.9794938824277352,21.770194509377227,23.03427144648962,20.50611757226484,0.9791732186283036,0.00131051391312158,-0.9434131376808708,0.0014606183661430574,-3.806225135321263,1.9193988599595218
365,0.9590291665693678,unexposed,Male,0.00117537961558081,0.9567254648546668,0.9613328682840686,40.97083343063224,43.27453514533319,38.66713171593139,0.9607724574397464,0.00236165871424697,-1.743290870378611,0.0026379820172437764,-6.913735624176413,3.427153883419191
180,0.9756214431839244,exposed,Hispanic,0.00175900291713869,0.9721738608176316,0.9790690255502172,24.37855681607559,27.826139182368316,20.93097444978276,0.9803679964763282,0.00171555295545054,-4.74655329240381,0.0024570741147668914,-9.562418557346918,0.06931197253929722
365,0.9542704452557982,exposed,Hispanic,0.00318893823334661,0.948020241169516,0.9605206493420804,45.72955474420182,51.979758830484,39.47935065791963,0.9630307738683088,0.00311768095514639,-8.760328612510637,0.0044597378391764584,-17.501414777296496,-0.019242447724778303
180,0.9663439845184856,exposed,NH Black,0.00180649168281065,0.9628033258818054,0.9698846431551656,33.65601548151454,37.19667411819461,30.115356844834466,0.9751321765664828,0.0018846551596431,-8.788192047997189,0.002610620093164345,-13.905007430599307,-3.6713766653950737
