time,surv,COHORT,modifier,se,ci_lower,ci_upper,exposed_surv,exposed_se,reduced_surv_est,reduced_surv_se,reduced_surv_lci,reduced_surv_uci
180,0.9756885594507532,exposed,NA,8.08333972791887e-4,0.9741042539766008,0.9772728649249054,0.9756885594507532,8.08333972791887e-4,0,0.001143156867249211,NA,NA
365,0.9543287988197332,exposed,NA,0.0014331263430789065,0.9515199228020029,0.9571376748374634,0.9543287988197332,0.0014331263430789065,0,0.0020267467109763466,NA,NA
180,0.985099831713354,historical,NA,6.461977714349683e-4,0.9838333073544514,0.9863663560722566,0.9756885594507532,8.08333972791887e-4,9.411272262600857,0.001034879399436009,7.382908639706278,11.439635885495434
365,0.9717831499234449,historical,NA,0.0011355073144847672,0.969557596482873,0.9740087033640169,0.9543287988197332,0.0014331263430789065,17.45435110371174,0.0018284496100453868,13.870589868022783,21.0381123394007
180,0.9809324294304458,unexposed,NA,3.9729104038083976e-4,0.9801537532999188,0.9817111055609726,0.9756885594507532,8.08333972791887e-4,5.243869979692617,9.006908361565611e-4,3.478515940825757,7.009224018559476
365,0.9640199712486925,unexposed,NA,7.005617126199655e-4,0.9626468955230097,0.9653930469743754,0.9543287988197332,0.0014331263430789065,9.691172428959337,0.0015951920976533637,6.564595917558745,12.81774894035993
180,0.9786015532136926,exposed,Female,9.40063098097979e-4,0.9767590633982254,0.9804440430291598,0.9786015532136926,9.40063098097979e-4,0,0.0013294499828166312,NA,NA
365,0.9598626435486967,exposed,Female,0.001699512571513811,0.9565316601172565,0.9631936269801368,0.9598626435486967,0.001699512571513811,0,0.002403473728058406,NA,NA
180,0.9703558858860444,exposed,Male,0.0014044383263592036,0.9676032373478726,0.9731085344242161,0.9703558858860444,0.0014044383263592036,0,0.001986175728653757,NA,NA
365,0.944781351516302,exposed,Male,0.0025063254556652098,0.9398690438896623,0.9496936591429418,0.944781351516302,0.0025063254556652098,0,0.003544479451122667,NA,NA
180,0.9864626542412499,historical,Female,7.768741624085045e-4,0.9849400088624095,0.9879852996200903,0.9786015532136926,9.40063098097979e-4,7.861101027557327,0.0012195294554144585,5.470823294944989,10.251378760169665
365,0.9744362351639047,historical,Female,0.0013984740679045175,0.9716952763574985,0.9771771939703107,0.9598626435486967,0.001699512571513811,14.573591615207992,0.0022009254188488296,10.259777794264288,18.8874054361517
180,0.9811937959202455,historical,Male,0.0010233163697700538,0.9791881326907059,0.9831994591497851,0.9703558858860444,0.0014044383263592036,10.837910034201093,0.00173770636333818,7.43200556205826,14.243814506343925
365,0.9646469473746533,historical,Male,0.0018217862817102432,0.9610763118749721,0.9682175828743346,0.944781351516302,0.0025063254556652098,19.865595858351238,0.0030984790697926386,13.792576881557665,25.93861483514481
180,0.9832374027243682,unexposed,Female,4.4380765289748337e-4,0.9823675557086259,0.9841072497401104,0.9786015532136926,9.40063098097979e-4,4.635849510675638,0.0010395594553347794,2.5983129782194703,6.6733860431318055
365,0.9684334667954685,unexposed,Female,7.885265479623593e-4,0.9668879831606085,0.9699789504303284,0.9598626435486967,0.001699512571513811,8.57082324677183,0.0018735306502896934,4.898703172204032,12.242943321339629
180,0.9780444381924046,unexposed,Male,6.559352777388196e-4,0.9767588286718473,0.979330047712962,0.9703558858860444,0.0014044383263592036,7.68855230636023,0.0015500639022727235,4.650427057905692,10.726677554814767
365,0.9588371387080342,unexposed,Male,0.0011944287705485605,0.9564961013356605,0.9611781760804079,0.944781351516302,0.0025063254556652098,14.055787191732172,0.0027763874689296464,8.614067752630065,19.497506630834277
180,0.9739305032642425,exposed,Hispanic,0.0017899369908623835,0.9704222912275562,0.9774387153009287,0.9739305032642425,0.0017899369908623835,0,0.0025313531682708695,NA,NA
365,0.9513492932423214,exposed,Hispanic,0.0032268634018666224,0.9450247571916324,0.9576738292930104,0.9513492932423214,0.0032268634018666224,0,0.0045634739868451605,NA,NA
180,0.9642699124367233,exposed,NH Black,0.0018387191628770783,0.9606660890998007,0.9678737357736461,0.9642699124367233,0.0018387191628770783,0,0.002600341577536068,NA,NA
365,0.9338248462246546,exposed,NH Black,0.003290823261543207,0.9273749511525432,0.9402747412967659,0.9338248462246546,0.003290823261543207,0,0.004653926887847266,NA,NA
180,0.9799537526986731,exposed,NH White,0.0010892268608863227,0.9778189072803423,0.9820885981170039,0.9799537526986731,0.0010892268608863227,0,0.00154039939916651,NA,NA
365,0.9624103809171803,exposed,NH White,0.0019800844834879094,0.9585294866431974,0.9662912751911632,0.9624103809171803,0.0019800844834879094,0,0.0028002623311931263,NA,NA
180,0.9830481457728226,historical,Hispanic,0.0013556063457884776,0.9803912061578632,0.9857050853877819,0.9739305032642425,0.0017899369908623835,9.11764250858016,0.0022453380582886564,4.716779914334393,13.518505102825925
365,0.9681340247497207,historical,Hispanic,0.0024480451396575826,0.9633359444434634,0.9729321050559778,0.9513492932423214,0.0032268634018666224,16.78473150739923,0.004050379293363443,8.845988092406884,24.723474922391578
180,0.9777575430064146,historical,NH Black,0.0015175543176901023,0.9747831911991587,0.9807318948136704,0.9642699124367233,0.0018387191628770783,13.487630569691266,0.002384084576325105,8.814824800094062,18.160436339288474
365,0.9583650915908771,historical,NH Black,0.0027247833710615558,0.9530246143179228,0.9637055688638314,0.9338248462246546,0.003290823261543207,24.540245366222567,0.004272465583000926,16.166212823540757,32.91427790890438
180,0.9876130450923817,historical,NH White,7.856587074307733e-4,0.9860731823216771,0.9891529078630863,0.9799537526986731,0.0010892268608863227,7.65929239370855,0.00134300959007673,5.026993597158159,10.29159119025894
