time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper,historical_surv,historical_se,higher_surv_est,higher_surv_se,higher_surv_lci,higher_surv_uci
180,0.9756885594507532,exposed,NA,8.08333972791887e-4,0.9741042539766008,0.9772728649249054,24.311440549246832,25.89574602339917,22.72713507509461,0.985099831713354,6.461977714349683e-4,-9.411272262600857,0.001034879399436009,-11.439635885495434,-7.382908639706278
365,0.9543287988197332,exposed,NA,0.0014331263430789,0.9515199228020028,0.9571376748374634,45.6712011802668,48.48007719799707,42.86232516253663,0.9717831499234448,0.00113550731448476,-17.45435110371163,0.0018284496100453773,-21.038112339400566,-13.870589868022691
180,0.985099831713354,historical,NA,6.461977714349683e-4,0.9838333073544514,0.9863663560722566,14.900168286645975,16.166692645548597,13.633643927743355,0.985099831713354,6.461977714349683e-4,0,9.138616523386015e-4,NA,NA
365,0.9717831499234448,historical,NA,0.00113550731448476,0.969557596482873,0.9740087033640168,28.216850076555055,30.442403517127016,25.991296635983097,0.9717831499234448,0.00113550731448476,0,0.001605849844318199,NA,NA
180,0.9809324294304458,unexposed,NA,3.9729104038083976e-4,0.9801537532999188,0.9817111055609726,19.067570569554213,19.84624670008117,18.28889443902737,0.985099831713354,6.461977714349683e-4,-4.167402282908239,7.585589829238129e-4,-5.6541778894389125,-2.680626676377566
365,0.9640199712486924,unexposed,NA,7.005617126199655e-4,0.9626468955230096,0.9653930469743754,35.98002875130746,37.353104476990254,34.606953025624556,0.9717831499234448,0.00113550731448476,-7.763178674752402,0.0013342277071165217,-10.378264980700784,-5.14809236880402
180,0.9786015532136926,exposed,Female,9.40063098097979e-4,0.9767590633982254,0.9804440430291598,21.398446786307424,23.24093660177462,19.555956970840228,0.98646265424125,7.768741624085045e-4,-7.861101027557438,0.0012195294554144585,-10.251378760169777,-5.4708232949451
365,0.9598626435486968,exposed,Female,0.00169951257151381,0.9565316601172564,0.9631936269801368,40.13735645130334,43.46833988274346,36.80637301986322,0.9744362351639048,0.00139847406790451,-14.573591615207992,0.002200925418848824,-18.88740543615169,-10.259777794264298
180,0.9703558858860444,exposed,Male,0.0014044383263592,0.9676032373478726,0.973108534424216,29.644114113955624,32.39676265212743,26.89146557578393,0.9811937959202456,0.00102331636977005,-10.837910034201204,0.0017377063633381745,-14.243814506344027,-7.432005562058381
365,0.944781351516302,exposed,Male,0.0025063254556652,0.9398690438896624,0.9496936591429418,55.218648483697955,60.1309561103377,50.30634085705821,0.9646469473746532,0.00182178628171024,-19.865595858351128,0.0030984790697926286,-25.938614835144676,-13.792576881557574
180,0.98646265424125,historical,Female,7.768741624085045e-4,0.9849400088624096,0.9879852996200904,13.537345758750096,15.05999113759049,12.014700379909703,0.98646265424125,7.768741624085045e-4,0,0.0010986659767353456,NA,NA
365,0.9744362351639048,historical,Female,0.00139847406790451,0.9716952763574984,0.9771771939703108,25.56376483609535,28.30472364250147,22.822806029689335,0.9744362351639048,0.00139847406790451,0,0.001977740993457631,NA,NA
180,0.9811937959202456,historical,Male,0.00102331636977005,0.979188132690706,0.9831994591497852,18.80620407975453,20.811867309294072,16.800540850214873,0.9811937959202456,0.00102331636977005,0,0.0014471878887272055,NA,NA
365,0.9646469473746532,historical,Male,0.00182178628171024,0.961076311874972,0.9682175828743346,35.35305262534671,38.92368812502789,31.78241712566543,0.9646469473746532,0.00182178628171024,0,0.002576394867339873,NA,NA
180,0.9832374027243682,unexposed,Female,4.4380765289748337e-4,0.982367555708626,0.9841072497401104,16.762597275631784,17.632444291374117,15.892750259889564,0.98646265424125,7.768741624085045e-4,-3.2252515168817997,8.947059276590765e-4,-4.97887513509359,-1.4716278986700098
365,0.9684334667954684,unexposed,Female,7.885265479623593e-4,0.9668879831606084,0.9699789504303284,31.56653320453151,33.112016839391465,30.02104956967155,0.9744362351639048,0.00139847406790451,-6.002768368436384,0.0016054606302998598,-9.14947120382411,-2.856065533048659
180,0.9780444381924046,unexposed,Male,6.559352777388196e-4,0.9767588286718472,0.979330047712962,21.95556180759539,23.24117132815273,20.66995228703805,0.9811937959202456,0.00102331636977005,-3.1493577278409735,0.0012154947475088718,-5.531727432958362,-0.7669880227235849
365,0.9588371387080342,unexposed,Male,0.00119442877054856,0.9564961013356604,0.961178176080408,41.16286129196578,43.50389866433946,38.821823919592106,0.9646469473746532,0.00182178628171024,-5.809808666618954,0.002178431854371802,-10.079535101187686,-1.5400822320502228
180,0.9739305032642424,exposed,Hispanic,0.00178993699086238,0.9704222912275562,0.9774387153009289,26.069496735757536,29.577708772443813,22.56128469907126,0.9830481457728226,0.00135560634578847,-9.117642508580271,0.002245338058288649,-13.518505102826023,-4.716779914334519
365,0.9513492932423214,exposed,Hispanic,0.00322686340186662,0.9450247571916324,0.9576738292930104,48.65070675767858,54.97524280836763,42.32617070698963,0.9681340247497208,0.00244804513965758,-16.784731507399343,0.004050379293363439,-24.723474922391684,-8.845988092407001
180,0.9642699124367232,exposed,NH Black,0.00183871916287707,0.9606660890998008,0.967873735773646,35.73008756327667,39.33391090019933,32.126264226353896,0.9777575430064146,0.0015175543176901,-13.487630569691378,0.0023840845763250973,-18.16043633928857,-8.814824800094188
365,0.9338248462246546,exposed,NH Black,0.0032908232615432,0.9273749511525432,0.940274741296766,66.17515377534544,72.6250488474568,59.72525870323408,0.9583650915908772,0.00272478337106155,-24.540245366222678,0.004272465583000917,-32.91427790890448,-16.16621282354088
