time,surv,COHORT,modifier,se,ci_lower,ci_upper,exposed_surv,exposed_se,reduced_surv_est,reduced_surv_se,reduced_surv_lci,reduced_surv_uci
180,0.9547404966651195,exposed,NA,0.0010713254536595714,0.9526407373602258,0.9568402559700133,0.9547404966651195,0.0010713254536595714,0,0.0015150829862808747,NA,NA
365,0.9177832869165333,exposed,NA,0.0018380889192313047,0.91418069883445785,0.9213858749986089,0.9177832869165333,0.0018380889192313047,0,0.0025994502784246155,NA,NA
180,0.9696230786312638,historical,NA,9.342015587501621e-4,0.9677920772218124,0.9714540800407153,0.9547404966651195,0.0010713254536595714,14.882581966144336,0.001421432650543148,12.096573971079767,17.668589961208905
365,0.9442382485598655,historical,NA,0.0015984063176214221,0.9411054297446662,0.9473710673750647,0.9177832869165333,0.0018380889192313047,26.454961643332165,0.0024358722526464684,21.680652028145087,31.229271258519244
180,0.9613018764656909,unexposed,NA,5.599198686032431e-4,0.9602044536890001,0.9623992992423817,0.9547404966651195,0.0010713254536595714,6.561379800571365,0.0012088211145225582,4.192090416107151,8.93066918503558
365,0.9293788468189962,unexposed,NA,9.265104102514913e-4,0.9275629197836018,0.9311947738543905,0.9177832869165333,0.0018380889192313047,11.59555990246286,0.0020583955925198858,7.561104541123884,15.630015263801836
180,0.9591805282962306,exposed,Female,0.0012706561770204192,0.9566900879525372,0.961670968639924,0.9591805282962306,0.0012706561770204192,0,0.001796979198655425,NA,NA
365,0.9256429464518662,exposed,Female,0.0022113125806727434,0.9213088534351872,0.929977039468545,0.9256429464518662,0.0022113125806727434,0,0.0031272682422336428,NA,NA
180,0.9475230984344343,exposed,Male,0.0018265330911463873,0.9439431593592168,0.9511030375096519,0.9475230984344343,0.0018265330911463873,0,0.0025831078696224737,NA,NA
365,0.9051913848151787,exposed,Male,0.003143686514742602,0.899029872467599,0.9113528971627585,0.9051913848151787,0.003143686514742602,0,0.0044458441049983945,NA,NA
180,0.9732790891857634,historical,Female,0.0011024955845634161,0.9711182375469046,0.9754399408246222,0.9591805282962306,0.0012706561770204192,14.098560889532873,0.0016822792973171772,10.801293466791206,17.395828312274542
365,0.9508312621200308,historical,Female,0.0019359563510094626,0.9470368573964106,0.9546256668436509,0.9256429464518662,0.0022113125806727434,25.188315668164595,0.002939018598521524,19.42783921506241,30.948792121266784
180,0.962543379546912,historical,Male,0.0014640032549262422,0.9596739858940072,0.9654127731998169,0.9475230984344343,0.0018265330911463873,15.020281112477774,0.0023408393074893902,10.432236069798568,19.60832615515698
365,0.931605258329004,historical,Male,0.002529752774078378,0.9266470340020201,0.9365634826559879,0.9051913848151787,0.003143686514742602,26.413873513825294,0.004035147333237256,18.504984740680268,34.32276228697032
180,0.9645779211898765,unexposed,Female,6.44194297464655e-4,0.9633153235677997,0.9658405188119533,0.9591805282962306,0.0012706561770204192,5.397392893645936,0.0014246239549741283,2.6051299418966445,8.189655845395226
365,0.9352262879622478,unexposed,Female,0.001093053569900143,0.9330839423320706,0.9373686335924251,0.9256429464518662,0.0022113125806727434,9.583341510381649,0.002466712272664365,4.7485854559594936,14.418097564803803
180,0.956840915455988,unexposed,Male,8.85197756456517e-4,0.9551059597341376,0.9585758711778385,0.9475230984344343,0.0018265330911463873,9.317817021553765,0.0020297286028157628,5.33954896003487,13.29608508307266
365,0.9215114884619154,unexposed,Male,0.0015245213871189248,0.9185234814495012,0.9244994954743295,0.9051913848151787,0.003143686514742602,16.32010364673675,0.0034938417770067234,9.472173763803573,23.168033529669927
180,0.9519944519810254,exposed,Hispanic,0.0022853937692210668,0.9475151625028598,0.956473741459191,0.9519944519810254,0.0022853937692210668,0,0.0032320348637953997,NA,NA
365,0.9130733089876562,exposed,Hispanic,0.003966971051735287,0.9052981885985419,0.92084842937677025,0.9130733089876562,0.003966971051735287,0,0.005610144262905504,NA,NA
180,0.9373894584071397,exposed,NH Black,0.0024488967880298075,0.9325897089007454,0.9421892079135339,0.9373894584071397,0.0024488967880298075,0,0.0034632630504836644,NA,NA
365,0.8877440703052151,exposed,NH Black,0.004175298162655821,0.8795606362816935,0.8959275043287367,0.8877440703052151,0.004175298162655821,0,0.0059047632885793275,NA,NA
