time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper,unexposed_surv,unexposed_se,diff_surv_est,diff_surv_se,diff_surv_lci,diff_surv_uci
180,0.9547404966651196,exposed,NA,0.00107132545365957,0.9526407373602258,0.9568402559700132,45.25950333488049,47.359262639774194,43.15974402998668,0.9613018764656908,5.599198686032431e-4,-6.561379800571143,0.001208821114522557,-8.930669185035354,-4.1920904161069314
365,0.9177832869165332,exposed,NA,0.0018380889192313,0.914180698834458,0.9213858749986088,82.21671308346667,85.81930116554216,78.61412500139109,0.9293788468189962,9.265104102514912e-4,-11.59555990246297,0.0020583955925198814,-15.630015263801939,-7.561104541124003
180,0.9696230786312638,historical,NA,9.34201558750162e-4,0.9677920772218124,0.9714540800407152,30.376921368736156,32.20792277818762,28.54591995928468,0.9613018764656908,5.599198686032431e-4,8.321202165573084,0.0010891477455459867,6.186472584302949,10.455931746843218
365,0.9442382485598656,historical,NA,0.00159840631762142,0.9411054297446662,0.9473710673750648,55.76175144013451,58.894570255333846,52.62893262493529,0.9293788468189962,9.265104102514912e-4,14.859401740869416,0.0018475184157448752,11.23826564600946,18.480537835729372
180,0.9613018764656908,unexposed,NA,5.599198686032431e-4,0.960204453689,0.9623992992423815,38.698123534309126,39.79554631099991,37.60070075761834,0.9613018764656908,5.599198686032431e-4,0,7.918462720208678e-4,NA,NA
365,0.9293788468189962,unexposed,NA,9.265104102514912e-4,0.9275629197836018,0.9311947738543904,70.62115318100382,72.43708021639816,68.80522614560947,0.9293788468189962,9.265104102514912e-4,0,0.0013102835878575192,NA,NA
180,0.9591805282962306,exposed,Female,0.00127065617702041,0.9566900879525372,0.961670968639924,40.81947170376943,43.30991204746282,38.32903136007604,0.9645779211898764,6.44194297464655e-4,-5.397392893645825,0.0014246239549741203,-8.1896558453951,-2.6051299418965495
365,0.9256429464518662,exposed,Female,0.00221131258067274,0.9213088534351872,0.929977039468545,74.35705354813382,78.6911465648128,70.02296053145496,0.9352262879622478,0.00109305356990014,-9.583341510381649,0.00246671227266436,-14.418097564803796,-4.748585455959503
180,0.9475230984344344,exposed,Male,0.00182653309114638,0.9439431593592168,0.951103037509652,52.476901565565726,56.0568406407832,48.89696249034814,0.956840915455988,8.85197756456517e-4,-9.317817021553655,0.002029728602815756,-13.296085083072533,-5.339548960034772
365,0.9051913848151788,exposed,Male,0.0031436865147426,0.899029872467599,0.9113528971627584,94.8086151848213,100.97012753240098,88.64710283724153,0.9215114884619154,0.00152452138711892,-16.32010364673664,0.0034938417770067195,-23.16803352966981,-9.472173763803468
