time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper
180,0.9547404966651195,exposed,NA,0.0010713254536595714,0.9526407373602258,0.9568402559700133,45.25950333488049,47.359262639774194,43.15974402998668
365,0.9177832869165333,exposed,NA,0.0018380889192313047,0.91418069883445785,0.9213858749986089,82.21671308346667,85.81930116554216,78.61412500139109
180,0.9696230786312638,historical,NA,9.342015587501621e-4,0.9677920772218124,0.9714540800407153,30.376921368736156,32.20792277818762,28.54591995928468
365,0.9442382485598655,historical,NA,0.0015984063176214221,0.9411054297446662,0.9473710673750647,55.76175144013451,58.894570255333846,52.62893262493529
180,0.9613018764656909,unexposed,NA,5.599198686032431e-4,0.9602044536890001,0.9623992992423817,38.698123534309126,39.79554631099991,37.60070075761834
365,0.9293788468189962,unexposed,NA,9.265104102514913e-4,0.9275629197836018,0.9311947738543905,70.62115318100382,72.43708021639816,68.80522614560947
180,0.9591805282962306,exposed,Female,0.0012706561770204192,0.9566900879525372,0.961670968639924,40.81947170376943,43.30991204746282,38.32903136007604
365,0.9256429464518662,exposed,Female,0.0022113125806727434,0.9213088534351872,0.929977039468545,74.35705354813382,78.6911465648128,70.02296053145496
180,0.9475230984344343,exposed,Male,0.0018265330911463873,0.9439431593592168,0.9511030375096519,52.476901565565726,56.0568406407832,48.89696249034814
365,0.9051913848151787,exposed,Male,0.003143686514742602,0.899029872467599,0.9113528971627585,94.8086151848213,100.97012753240098,88.64710283724153
180,0.9732790891857634,historical,Female,0.0011024955845634161,0.9711182375469046,0.9754399408246222,26.720910814236554,28.881762453095373,24.560059175377845
365,0.9508312621200308,historical,Female,0.0019359563510094626,0.9470368573964106,0.9546256668436509,49.16873787996923,52.96314260358936,45.37433315634909
180,0.962543379546912,historical,Male,0.0014640032549262422,0.9596739858940072,0.9654127731998169,37.45662045308795,40.32601410599279,34.58722680018311
365,0.931605258329004,historical,Male,0.002529752774078378,0.9266470340020201,0.9365634826559879,68.39474167099601,73.35296599797991,63.436517344012124
180,0.9645779211898765,unexposed,Female,6.44194297464655e-4,0.9633153235677997,0.9658405188119533,35.422078810123494,36.684676432200305,34.159481188046684
365,0.9352262879622478,unexposed,Female,0.001093053569900143,0.9330839423320706,0.9373686335924251,64.77371203775218,66.91605766792941,62.63136640757494
180,0.956840915455988,unexposed,Male,8.85197756456517e-4,0.9551059597341376,0.9585758711778385,43.15908454401196,44.894040265862415,41.42412882216151
365,0.9215114884619154,unexposed,Male,0.0015245213871189248,0.9185234814495012,0.9244994954743295,78.48851153808457,81.47651855049875,75.50050452567048
180,0.9519944519810254,exposed,Hispanic,0.0022853937692210668,0.9475151625028598,0.956473741459191,48.00554801897461,52.48483749714017,43.526258540809046
365,0.9130733089876562,exposed,Hispanic,0.003966971051735287,0.9052981885985419,0.92084842937677025,86.92669101234385,94.70181140145806,79.15157062322974
180,0.9373894584071397,exposed,NH Black,0.0024488967880298075,0.9325897089007454,0.9421892079135339,62.61054159286028,67.41029109925456,57.81079208646611
365,0.8877440703052151,exposed,NH Black,0.004175298162655821,0.8795606362816935,0.8959275043287367,112.25592969478492,120.43936371830655,104.07249567126331
180,0.9607977508944989,exposed,NH White,0.0014537958781433253,0.9579483633324652,0.9636471384565326,39.202249105501075,42.05163666753475,36.3528615434674
365,0.9285849709414361,exposed,NH White,0.002552952358981069,0.9235812762635867,0.9335886656192856,71.41502905856389,76.41872373641334,66.41133438071445
180,0.9643601166514228,historical,Hispanic,0.0020564899076974535,0.9603294704977657,0.9683907628050799,35.63988334857715,39.67052950223427,31.609237194920148
365,0.9349152011293093,historical,Hispanic,0.0036052165640102114,0.927849106507382,0.9419812957512365,65.08479887069075,72.15089349261805,58.01870424876354
180,0.9579587338244291,historical,NH Black,0.002145920658476493,0.9537528066201346,0.9621646610287234,42.04126617557091,46.24719337986538,37.835338971276556
365,0.9235621748537374,historical,NH Black,0.0037214302868642493,0.9162683055205069,0.9308560441869679,76.43782514626263,83.73169447949313,69.14395581303212
180,0.9738443980216122,historical,NH White,0.0011282283733288273,0.9716331110435514,0.9760556849996729,26.155601978387843,28.366888956448566,23.944315000327123
365,0.9519205711951655,historical,NH White,0.0019909069014601476,0.9480184653717314,0.9558226770185997,48.079428804834514,51.9815346282686,44.177322981400316
180,0.9541927660099964,unexposed,Hispanic,0.0012875478683640961,0.9516692185596314,0.9567163134603612,45.80723399000364,48.33078144036862,43.283686539638765
365,0.9169293836471618,unexposed,Hispanic,0.0022247727217013257,0.91256890923884,0.9212898580554836,83.07061635283819,87.43109076115996,78.71014194451642
180,0.9464725756297983,unexposed,NH Black,0.0013189993753394541,0.9438873843585022,0.9490577669010944,53.52742437020175,56.11261564149783,50.942233098905554
365,0.9034379608407103,unexposed,NH Black,0.002236516698878232,0.8990544686600865,0.907821453021334,96.56203915928974,100.94553133991346,92.178546978666
180,0.968724431422526,unexposed,NH White,6.261835849864442e-4,0.9674971341482423,0.9699517286968096,31.275568577474044,32.502865851757655,30.048271303190432
365,0.9427128155516784,unexposed,NH White,0.0010856063591947788,0.940585066186269,0.9448405649170879,57.2871844483216,59.414933813730975,55.1594350829121
180,0.9730430350035563,exposed,18 to 39,0.002210749422712358,0.9687100457561973,0.9773760242509152,26.956964996443734,31.289954243802654,22.623975749084813
365,0.9504363162091083,exposed,18 to 39,0.003982172769329219,0.9426314010010068,0.9582412314172096,49.56368379089171,57.36859899899316,41.758768582790374
180,0.9460779424505209,exposed,40 to 64,0.0017702205783340908,0.9426083738722945,0.9495475110287473,53.9220575494791,57.39162612770554,50.45248897125265
365,0.9026261129837528,exposed,40 to 64,0.0030401074083900924,0.8966676119541749,0.9085846140133308,97.37388701624717,103.33238804582511,91.41538598666921
180,0.9573290172206312,exposed,65 plus,0.001977283834922234,0.9534536121169704,0.961204422324292,42.67098277936876,46.54638788302956,38.79557767570796
365,0.9223662837880976,exposed,65 plus,0.0034719521763258215,0.9155613825664535,0.9291711850097416,77.63371621190241,84.43861743354653,70.8288149902584
180,0.9825980289060587,historical,18 to 39,0.001650722795605067,0.9793626716782136,0.9858333861339039,17.40197109394126,20.63732832178644,14.166613866096078
365,0.9677965552853687,historical,18 to 39,0.0030069952166799077,0.9619029529589919,0.9736901576117455,32.203444714631324,38.09704704100814,26.309842388254513
180,0.9645429621674813,historical,40 to 64,0.0014158833118498575,0.9617678818699442,0.9673180424650182,35.45703783251874,38.23211813005578,32.68195753498182
365,0.9351793724455423,historical,40 to 64,0.002456666454809072,0.9303643946720889,0.9399943502189958,64.82062755445772,69.63560532791114,60.0056497810042
180,0.967509218647033,historical,65 plus,0.0016805622080146392,0.9642153772455453,0.9708030600485208,32.49078135296701,35.78462275445471,29.196939951479205
365,0.940483821077915,historical,65 plus,0.0029636188553533484,0.9346752348575186,0.9462924072983113,59.51617892208505,65.32476514248143,53.707592701688675
180,0.9775608995246777,unexposed,18 to 39,0.0013123813375789182,0.9749886793690405,0.9801331196803149,22.43910047532227,25.011320630959453,19.866880319685087
365,0.9586167727936519,unexposed,18 to 39,0.0023752808643919382,0.9539613078462765,0.9632722377410273,41.383227206348124,46.038692153723474,36.727762258972675
