time,surv,COHORT,modifier,se,ci_lower,ci_upper,cuminc_surv,cuminc_ci_lower,cuminc_ci_upper,historical_surv,historical_se,higher_surv_est,higher_surv_se,higher_surv_lci,higher_surv_uci
180,0.9547404966651196,exposed,NA,0.00107132545365957,0.9526407373602258,0.9568402559700132,45.25950333488049,47.359262639774194,43.15974402998668,0.9696230786312638,9.34201558750162e-4,-14.882581966144226,0.0014214326505431467,-17.668589961208795,-12.096573971079659
365,0.9177832869165332,exposed,NA,0.0018380889192313,0.914180698834458,0.9213858749986088,82.21671308346667,85.81930116554216,78.61412500139109,0.9442382485598656,0.00159840631762142,-26.454961643332386,0.002435872252646463,-31.229271258519454,-21.680652028145317
180,0.9696230786312638,historical,NA,9.34201558750162e-4,0.9677920772218124,0.9714540800407152,30.376921368736156,32.20792277818762,28.54591995928468,0.9696230786312638,9.34201558750162e-4,0,0.001321160514374565,NA,NA
365,0.9442382485598656,historical,NA,0.00159840631762142,0.9411054297446662,0.9473710673750648,55.76175144013451,58.894570255333846,52.62893262493529,0.9442382485598656,0.00159840631762142,0,0.002260487892563049,NA,NA
180,0.9613018764656908,unexposed,NA,5.599198686032431e-4,0.960204453689,0.9623992992423815,38.698123534309126,39.79554631099991,37.60070075761834,0.9696230786312638,9.34201558750162e-4,-8.321202165573084,0.0010891477455459867,-10.455931746843218,-6.186472584302949
365,0.9293788468189962,unexposed,NA,9.265104102514912e-4,0.9275629197836018,0.9311947738543904,70.62115318100382,72.43708021639816,68.80522614560947,0.9442382485598656,0.00159840631762142,-14.859401740869416,0.0018475184157448752,-18.480537835729372,-11.23826564600946
180,0.9591805282962306,exposed,Female,0.00127065617702041,0.9566900879525372,0.961670968639924,40.81947170376943,43.30991204746282,38.32903136007604,0.9732790891857634,0.00110249558456341,-14.098560889532873,0.0016822792973171662,-17.39582831227452,-10.801293466791229
365,0.9256429464518662,exposed,Female,0.00221131258067274,0.9213088534351872,0.929977039468545,74.35705354813382,78.6911465648128,70.02296053145496,0.9508312621200308,0.00193595635100946,-25.188315668164595,0.0029390185985215195,-30.948792121266774,-19.427839215062416
180,0.9475230984344344,exposed,Male,0.00182653309114638,0.9439431593592168,0.951103037509652,52.476901565565726,56.0568406407832,48.89696249034814,0.962543379546912,0.00146400325492624,-15.020281112477662,0.002340839307489383,-19.608326155156856,-10.432236069798472
365,0.9051913848151788,exposed,Male,0.0031436865147426,0.899029872467599,0.9113528971627584,94.8086151848213,100.97012753240098,88.64710283724153,0.931605258329004,0.00252975277407837,-26.41387351382518,0.004035147333237249,-34.32276228697019,-18.50498474068017
180,0.9732790891857634,historical,Female,0.00110249558456341,0.9711182375469046,0.9754399408246222,26.720910814236554,28.881762453095373,24.560059175377845,0.9732790891857634,0.00110249558456341,0,0.001559164208146028,NA,NA
365,0.9508312621200308,historical,Female,0.00193595635100946,0.9470368573964106,0.9546256668436508,49.16873787996923,52.96314260358936,45.37433315634909,0.9508312621200308,0.00193595635100946,0,0.0027378557277599066,NA,NA
180,0.962543379546912,historical,Male,0.00146400325492624,0.9596739858940072,0.9654127731998168,37.45662045308795,40.32601410599279,34.58722680018311,0.962543379546912,0.00146400325492624,0,0.0020704132584750444,NA,NA
365,0.931605258329004,historical,Male,0.00252975277407837,0.92664703400202,0.936563482655988,68.39474167099601,73.35296599797991,63.43651734401213,0.931605258329004,0.00252975277407837,0,0.0035776106825525914,NA,NA
180,0.9645779211898764,unexposed,Female,6.44194297464655e-4,0.9633153235677996,0.9658405188119532,35.422078810123494,36.684676432200305,34.159481188046684,0.9732790891857634,0.00110249558456341,-8.70116799588705,0.0012769036012431774,-11.203899054323678,-6.198436937450421
365,0.9352262879622478,unexposed,Female,0.00109305356990014,0.9330839423320706,0.9373686335924252,64.77371203775218,66.91605766792941,62.63136640757494,0.9508312621200308,0.00193595635100946,-15.604974157782948,0.0022232168359575958,-19.962479156259835,-11.247469159306059
180,0.956840915455988,unexposed,Male,8.85197756456517e-4,0.9551059597341376,0.9585758711778384,43.15908454401196,44.894040265862415,41.42412882216151,0.962543379546912,0.00146400325492624,-5.702464090924009,0.0017108128472951903,-9.055657271622582,-2.349270910225436
365,0.9215114884619154,unexposed,Male,0.00152452138711892,0.9185234814495012,0.9244994954743296,78.48851153808457,81.47651855049875,75.50050452567048,0.931605258329004,0.00252975277407837,-10.093769867088543,0.0029536104275513734,-15.882846305089235,-4.30469342908785
180,0.9519944519810254,exposed,Hispanic,0.00228539376922106,0.9475151625028598,0.956473741459191,48.00554801897461,52.48483749714017,43.526258540809046,0.9643601166514228,0.00205648990769745,-12.365664670397457,0.003074439041655552,-18.39156519204234,-6.339764148752576
365,0.9130733089876562,exposed,Hispanic,0.00396697105173528,0.905298188598542,0.92084842937677025,86.92669101234385,94.70181140145806,79.15157062322974,0.9349152011293091,0.00360521656401021,-21.841892141653,0.005360452014403197,-32.34837808988326,-11.335406193422731
180,0.9373894584071396,exposed,NH Black,0.0024488967880298,0.9325897089007454,0.942189207913534,62.61054159286028,67.41029109925456,57.81079208646611,0.9579587338244292,0.00214592065847649,-20.56927541728959,0.0032560821474432802,-26.95119642627842,-14.187354408300761
365,0.8877440703052151,exposed,NH Black,0.00417529816265582,0.8795606362816935,0.8959275043287367,112.25592969478492,120.43936371830657,104.07249567126333,0.9235621748537374,0.00372143028686424,-35.8181045485223,0.005593045514482028,-46.78047375690708,-24.855735340137525
